player,role,base_score,pp_score,middle_score,death_score,economy,total_wickets,best_economy,avg_dots_per_spell,wkts_3yr_avg,econ_3yr_avg
Rashid Khan,allrounder,34.60976315789473,34.60976315789473,34.60976315789473,34.60976315789473,6.38,112.0,1.75,10.526315789473683,19.0,6.216666666666666
Lasith Malinga,bowler,34.51280180180181,0.0,34.51280180180181,34.51280180180181,7.206666666666667,170.0,2.0,11.675675675675675,17.0,8.56
Sunil Narine,allrounder,34.43490909090909,34.43490909090909,34.43490909090909,34.43490909090909,6.734545454545454,152.0,2.72,11.0,10.0,6.6499999999999995
Zaheer Khan,allrounder,34.413404761904765,0.0,34.413404761904765,34.413404761904765,7.459999999999999,102.0,2.25,11.80952380952381,9.0,7.316666666666666
Ravichandran Ashwin,allrounder,34.364285714285714,34.364285714285714,34.364285714285714,34.364285714285714,6.699999999999999,157.0,1.5,9.67142857142857,10.666666666666666,7.523333333333333
Bhuvneshwar Kumar,allrounder,34.32787745098039,0.0,34.32787745098039,34.32787745098039,7.211666666666667,154.0,3.0,11.509803921568627,7.0,7.43
Sandeep Sharma,bowler,34.211773529411765,0.0,34.211773529411765,34.211773529411765,7.813,114.0,2.75,11.794117647058824,6.333333333333333,7.823333333333333
Jasprit Bumrah,bowler,34.15167441860465,0.0,34.15167441860465,34.15167441860465,7.99,145.0,2.33,11.488372093023257,21.0,7.12
Harbhajan Singh,allrounder,34.13841025641026,0.0,34.13841025641026,34.13841025641026,7.306923076923076,150.0,2.25,10.166666666666666,7.666666666666667,8.19
Amit Mishra,allrounder,34.12256818181818,0.0,34.12256818181818,34.12256818181818,7.426428571428572,166.0,2.0,10.10909090909091,6.666666666666667,7.243333333333333
Yuzvendra Chahal,bowler,33.92643039215687,0.0,33.92643039215687,33.92643039215687,7.712999999999999,166.0,1.5,9.254901960784316,22.0,7.293333333333333
Axar Patel,allrounder,33.86834848484848,0.0,33.86834848484848,33.86834848484848,7.356666666666666,101.0,2.5,9.090909090909092,10.0,6.839999999999999
Umesh Yadav,allrounder,33.84625,0.0,33.84625,33.84625,8.708333333333334,135.0,2.75,11.533333333333331,8.0,9.57
Dale Steyn,allrounder,33.785954545454544,0.0,33.785954545454544,33.785954545454544,7.624545454545455,97.0,2.0,13.272727272727272,1.6666666666666667,9.506666666666666
