player,total_runs,bat_avg,bat_sr,total_fours,total_sixes,centuries,fifties,seasons_batted,last_season_bat,total_wickets,bowl_avg,economy,bowl_sr,seasons_bowled,last_season_bowl,best_economy,avg_dots_per_spell,inn_wickets,max_sr_inn,avg_sr_inn,max_6s_inn,max_4s_inn,role,bat_impact,bowl_impact,overall_impact,powerplay_bowler,death_bowler,finisher,anchor,runs_3yr_avg,sr_3yr_avg,wkts_3yr_avg,econ_3yr_avg
AB de Villiers,4697.0,37.075384615384614,147.28538461538463,374.0,239.0,2.0,37.0,13.0,2021.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,533.33,259.1842,12.0,19.0,batter,56.866219852622976,0.0,56.866219852622976,False,True,True,False,403.0,153.69333333333336,0.0,0.0
Aakash Chopra,53.0,9.7,69.325,7.0,0.0,0.0,0.0,2.0,2009.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,batter,7.127166822440176,0.0,7.127166822440176,False,True,False,False,26.5,69.325,0.0,0.0
Aaron Finch,2091.0,22.634545454545453,119.69272727272728,214.0,78.0,0.0,15.0,11.0,2022.0,1.0,16.333333333333332,7.676666666666667,8.0,3.0,2013.0,0.0,0.0,0.0,450.0,212.4662068965517,6.0,12.0,allrounder,26.914879947858864,0.19125683060109291,13.55306838922998,False,True,False,False,162.66666666666666,128.72666666666666,0.3333333333333333,7.676666666666667
Aavishkar Salvi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,22.0,8.25,16.0,1.0,2011.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bowler,0.0,0.5737704918032787,0.5737704918032787,False,True,False,False,0.0,0.0,3.0,8.25
Abdul Samad,226.0,12.176666666666668,118.49333333333334,12.0,14.0,0.0,0.0,3.0,2022.0,2.0,52.5,11.355,24.0,2.0,2021.0,0.0,0.0,0.0,375.0,268.55,3.0,2.0,allrounder,11.514325028974179,0.38251366120218583,5.948419345088182,False,False,False,False,75.33333333333333,118.49333333333334,1.0,11.355
Abdur Razzak,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2008.0,0.0,0.0,14.5,0.0,1.0,2008.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bowler,0.0,0.0,0.0,False,False,False,False,0.0,0.0,0.0,14.5
Abhijeet Tomar,4.0,4.0,50.0,1.0,0.0,0.0,0.0,1.0,2022.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,0.0,1.0,batter,3.9422663623589154,0.0,3.9422663623589154,False,True,False,False,4.0,50.0,0.0,0.0
Abhimanyu Mithun,32.0,7.0,130.0,4.0,1.0,0.0,0.0,2.0,2011.0,7.0,28.04,10.638,16.56,5.0,2013.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bowler,9.146331203344193,1.3387978142076502,1.3387978142076502,False,False,False,False,16.0,130.0,2.0,9.896666666666667
Abhinav Manohar,108.0,18.0,144.0,14.0,3.0,0.0,0.0,1.0,2022.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,214.28,159.12333333333333,2.0,5.0,batter,14.113906157103974,0.0,14.113906157103974,False,True,False,False,108.0,144.0,0.0,0.0
Abhinav Mukund,19.0,9.5,45.235,1.0,0.0,0.0,0.0,2.0,2013.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,batter,5.722987079201458,0.0,5.722987079201458,False,True,False,False,9.5,45.235,0.0,0.0
