player,opponent,opp_sr,opp_runs,opp_6s
AB de Villiers,CSK,173.15714285714284,325.0,18.0
AB de Villiers,DC,186.33545454545455,682.0,37.0
AB de Villiers,DEC,276.47,94.0,6.0
AB de Villiers,GL,208.075,416.0,34.0
AB de Villiers,KKR,207.052,614.0,39.0
AB de Villiers,KTK,135.0,54.0,5.0
AB de Villiers,MI,215.7653846153846,887.0,49.0
AB de Villiers,PBKS,173.84799999999998,780.0,46.0
AB de Villiers,PWI,264.4975,164.0,10.0
AB de Villiers,RPS,180.43,166.0,8.0
AB de Villiers,RR,181.43,461.0,25.0
AB de Villiers,SRH,177.01636363636362,708.0,39.0
Aaron Finch,CSK,131.84333333333333,178.0,4.0
Aaron Finch,DC,156.15142857142857,430.0,20.0
Aaron Finch,KKR,181.11875,265.0,15.0
Aaron Finch,LSG,100.0,14.0,0.0
Aaron Finch,MI,127.43666666666667,187.0,4.0
Aaron Finch,PBKS,154.06666666666666,202.0,4.0
Aaron Finch,PWI,208.33,25.0,2.0
Aaron Finch,RCB,211.76,144.0,12.0
Aaron Finch,RPS,150.48,133.0,6.0
Aaron Finch,RR,159.28,289.0,10.0
Aaron Finch,SRH,150.83333333333334,107.0,5.0
Abdul Samad,DC,206.25,33.0,2.0
Abdul Samad,KKR,188.19,44.0,5.0
Abdul Samad,MI,222.22,20.0,2.0
Abhijeet Tomar,LSG,50.0,4.0,0.0
Abhinav Manohar,CSK,100.0,12.0,0.0
Abhinav Manohar,LSG,214.28,15.0,0.0
Abhinav Manohar,RR,153.57,86.0,4.0
Abhinav Manohar,SRH,166.66,70.0,2.0
Abhishek Jhunjhunwala,DC,117.77,53.0,1.0
Abhishek Jhunjhunwala,KKR,125.0,45.0,0.0
Abhishek Nayar,CSK,175.265,140.0,8.0
Abhishek Nayar,DEC,167.97666666666666,82.0,6.0
Abhishek Nayar,PBKS,150.0,27.0,2.0
Abhishek Nayar,RCB,145.0,29.0,0.0
Abhishek Nayar,RR,194.44,70.0,2.0
Abhishek Raut,DEC,156.52,36.0,0.0
Abhishek Raut,KKR,161.53,21.0,2.0
Abhishek Raut,MI,117.64,20.0,2.0
Abhishek Sharma,CSK,150.832,259.0,9.0
Abhishek Sharma,DC,116.66,7.0,0.0
Abhishek Sharma,GT,146.92333333333332,172.0,6.0
Abhishek Sharma,KKR,153.57,86.0,4.0
Abhishek Sharma,LSG,118.18,13.0,0.0
Abhishek Sharma,MI,148.125,42.0,1.0
Abhishek Sharma,PBKS,129.185,148.0,6.0
Abhishek Sharma,RCB,192.6,140.0,6.0
Abhishek Sharma,RR,47.36,9.0,0.0
Adam Gilchrist,CSK,186.055,400.0,20.0
Adam Gilchrist,DC,186.91375,448.0,26.0
Adam Gilchrist,DEC,135.215,224.0,10.0
Adam Gilchrist,KKR,135.478,187.0,9.0
Adam Gilchrist,MI,203.45499999999998,288.0,26.0
Adam Gilchrist,PBKS,191.31333333333336,182.0,8.0
Adam Gilchrist,RCB,163.565,602.0,38.0
Adam Gilchrist,RR,142.26166666666666,243.0,9.0
Adam Voges,KKR,168.18,37.0,2.0
Adam Voges,PBKS,187.5,45.0,1.0
Aditya Tare,CSK,121.05,23.0,0.0
Aditya Tare,DC,170.0,17.0,2.0
Aditya Tare,PBKS,183.33,22.0,2.0
Aditya Tare,RR,144.535,94.0,3.0
Adrian Barath,MI,122.22,33.0,1.0
Aiden Blizzard,DC,160.86,37.0,0.0
Aiden Blizzard,KKR,170.0,102.0,4.0
Aiden Markram,CSK,170.0,17.0,2.0
Aiden Markram,DC,168.0,84.0,6.0
Aiden Markram,GT,143.33333333333334,124.0,6.0
Aiden Markram,KKR,168.58666666666667,168.0,11.0
Aiden Markram,MI,144.82,42.0,0.0
Aiden Markram,PBKS,142.40666666666667,103.0,2.0
Aiden Markram,RCB,77.77,42.0,2.0
Aiden Markram,RR,139.02,114.0,4.0
Ajinkya Rahane,CSK,135.81833333333333,315.0,6.0
Ajinkya Rahane,DC,134.276,962.0,23.0
Ajinkya Rahane,DEC,141.93,44.0,1.0
Ajinkya Rahane,GL,117.77,53.0,0.0
Ajinkya Rahane,KKR,154.084,246.0,8.0
Ajinkya Rahane,MI,140.435,606.0,18.0
Ajinkya Rahane,PBKS,130.406,317.0,8.0
Ajinkya Rahane,PWI,136.31333333333336,195.0,4.0
Ajinkya Rahane,RCB,140.91636363636363,634.0,17.0
Ajinkya Rahane,SRH,120.83599999999998,284.0,7.0
Ajit Agarkar,DC,134.48,78.0,4.0
Ajit Agarkar,DEC,233.33,7.0,1.0
Ajit Agarkar,RR,153.84,20.0,2.0
Akshdeep Nath,DC,158.33,19.0,0.0
Albie Morkel,CSK,132.72,73.0,1.0
Albie Morkel,DC,187.5,58.0,5.0
Albie Morkel,DEC,204.1325,103.0,9.0
Albie Morkel,KKR,193.885,37.0,4.0
Albie Morkel,PBKS,200.0,16.0,2.0
Albie Morkel,RCB,340.0,56.0,6.0
Albie Morkel,RR,188.71714285714285,308.0,21.0
Alex Hales,DC,145.16,45.0,3.0
Alex Hales,RCB,154.16,37.0,3.0
Aman Khan,SRH,166.66,5.0,0.0
Ambati Rayudu,CSK,161.8475,158.0,13.0
Ambati Rayudu,DC,158.89533333333333,673.0,35.0
Ambati Rayudu,DEC,189.65,110.0,4.0
Ambati Rayudu,GT,148.38,92.0,4.0
Ambati Rayudu,KKR,158.79125,291.0,12.0
Ambati Rayudu,KTK,160.6,53.0,4.0
Ambati Rayudu,LSG,135.0,54.0,4.0
Ambati Rayudu,MI,157.5675,422.0,30.0
Ambati Rayudu,PBKS,163.82222222222222,466.0,24.0
Ambati Rayudu,RCB,167.25555555555556,447.0,25.0
Ambati Rayudu,RR,181.6075,377.0,20.0
Ambati Rayudu,SRH,159.3575,556.0,26.0
Amit Mishra,MI,312.5,31.0,1.0
Andre Russell,CSK,176.81499999999997,352.0,31.0
Andre Russell,DC,203.76857142857145,323.0,30.0
Andre Russell,GT,192.0,96.0,12.0
Andre Russell,LSG,236.84,90.0,10.0
Andre Russell,MI,205.29333333333332,227.0,23.0
Andre Russell,PBKS,219.90555555555557,477.0,38.0
Andre Russell,RCB,220.67916666666665,475.0,44.0
Andre Russell,RPS,154.54,17.0,2.0
Andre Russell,RR,192.93800000000002,172.0,15.0
Andre Russell,SRH,201.805,328.0,28.0
Andrew Flintoff,RCB,169.23,22.0,1.0
Andrew McDonald,DC,157.89,60.0,4.0
Andrew Symonds,CSK,119.40666666666668,108.0,7.0
Andrew Symonds,DC,174.63750000000002,171.0,11.0
Andrew Symonds,KKR,101.83500000000001,77.0,2.0
Andrew Symonds,PBKS,153.065,113.0,7.0
Andrew Symonds,RCB,199.6,139.0,7.0
Andrew Symonds,RR,220.75,234.0,14.0
Andrew Tye,MI,208.33,25.0,2.0
Angelo Mathews,CSK,100.0,48.0,2.0
Angelo Mathews,DC,150.32,76.0,4.0
Angelo Mathews,DEC,141.3,130.0,8.0
Angelo Mathews,KKR,135.26666666666668,103.0,9.0
Angelo Mathews,RCB,168.42,32.0,3.0
Ankit Sharma,CSK,187.5,15.0,2.0
Anmolpreet Singh,RR,125.0,5.0,0.0
Anuj Rawat,CSK,75.0,12.0,0.0
Anuj Rawat,LSG,80.0,4.0,0.0
Anuj Rawat,MI,140.42,132.0,12.0
Anuj Rawat,PBKS,105.0,42.0,2.0
Anuj Rawat,RR,104.0,26.0,0.0
Anustup Majumdar,RR,150.0,30.0,2.0
Arshdeep Singh,DC,52.94,9.0,0.0
Arshdeep Singh,GT,200.0,10.0,0.0
Ashish Reddy,CSK,225.0,36.0,3.0
Ashish Reddy,PBKS,275.0,22.0,2.0
Ashish Reddy,RCB,177.77,32.0,3.0
Ashok Menaria,DC,146.66,22.0,3.0
Ashok Menaria,PBKS,125.92,34.0,2.0
Ashok Menaria,PWI,131.81,29.0,3.0
Avesh Khan,GT,300.0,12.0,2.0
Avesh Khan,RR,350.0,7.0,1.0
Axar Patel,CSK,420.0,21.0,3.0
Axar Patel,DC,197.24,102.0,6.0
Axar Patel,GL,200.0,34.0,2.0
Axar Patel,GT,200.0,8.0,0.0
Axar Patel,KKR,179.32399999999998,113.0,6.0
Axar Patel,LSG,175.0,84.0,6.0
Axar Patel,MI,191.0775,137.0,11.0
Axar Patel,PBKS,85.0,17.0,0.0
Axar Patel,RCB,186.8275,128.0,6.0
Axar Patel,SRH,194.33999999999997,59.0,5.0
Ayush Badoni,CSK,211.11,19.0,2.0
Ayush Badoni,DC,333.33,20.0,2.0
Ayush Badoni,GT,112.04,116.0,6.0
Ayush Badoni,MI,127.27,14.0,1.0
Ayush Badoni,RCB,100.0,13.0,0.0
Ayush Badoni,SRH,158.33,19.0,0.0
Azhar Mahmood,CSK,150.0,18.0,2.0
Azhar Mahmood,MI,181.81,160.0,8.0
Azhar Mahmood,RCB,192.245,94.0,3.0
B Indrajith,RR,93.75,15.0,0.0
Balachandra Akhil,DC,200.0,8.0,1.0
Balachandra Akhil,DEC,385.71,27.0,3.0
Ben Cutting,DC,185.0,37.0,3.0
Ben Cutting,KKR,266.66,24.0,3.0
Ben Cutting,MI,200.0,20.0,0.0
Ben Cutting,PBKS,163.63,18.0,2.0
Ben Cutting,RCB,263.33000000000004,55.0,6.0
Ben Dunk,SRH,117.64,20.0,0.0
Ben Rohrer,PBKS,168.96,98.0,6.0
Ben Rohrer,RR,160.0,64.0,1.0
