player,venue,venue_economy,venue_wkts
Abhishek Jhunjhunwala,Chidambaram,4.33,1.0
Abhishek Nayar,Rajiv Gandhi Intl. Cricket Stadium,6.0,1.0
Abhishek Nayar,St George's Park,4.33,3.0
Abhishek Sharma,Chidambaram,6.0,2.0
Abhishek Sharma,Sharjah Cricket Stadium,4.5,0.0
Abu Nechim,JSCA Stadium,4.5,1.0
Adam Milne,Dubai International Stadium,5.25,2.0
Adam Voges,Narendra Modi Stadium,4.5,0.0
Adam Zampa,ACA-VDCA Stadium,5.0,9.0
Adam Zampa,Maharashtra Cricket Association's International Stadium,5.73,2.0
Adam Zampa,Zayed Cricket Stadium,3.0,1.0
Ajantha Mendis,Eden Gardens,5.75,3.0
Ajantha Mendis,Maharashtra Cricket Association's International Stadium,3.75,1.0
Ajantha Mendis,Newlands,4.75,2.0
Ajantha Mendis,Supersport Park,5.25,1.0
Ajit Agarkar,Eden Gardens,5.75,1.0
Ajit Agarkar,Kingsmead,3.75,2.0
Ajit Agarkar,M. Chinnaswamy Stadium,6.25,3.0
Ajit Chandila,Rajiv Gandhi Intl. Cricket Stadium,5.0,1.0
Ajit Chandila,Sawai Mansingh Stadium,3.81,8.0
Akash Deep,DY Patil Stadium,14.5,0.0
Akash Deep,Maharashtra Cricket Association Stadium,5.0,1.0
Akash Deep,Wankhede Stadium,11.0,0.0
Albie Morkel,Arun Jaitley Stadium,4.33,1.0
Albie Morkel,Chidambaram,4.965999999999999,4.0
Albie Morkel,DY Patil Stadium,5.625,3.0
Albie Morkel,Eden Gardens,3.5,3.0
Albie Morkel,Kingsmead,3.25,2.0
Albie Morkel,M. Chinnaswamy Stadium,5.0,1.0
Albie Morkel,Sharjah Cricket Stadium,6.0,1.0
Albie Morkel,Supersport Park,5.25,2.0
Albie Morkel,Wankhede Stadium,4.75,1.0
Alfonso Thomas,Arun Jaitley Stadium,5.25,3.0
Alfonso Thomas,Wankhede Stadium,4.0,1.0
Ali Murtaza,Arun Jaitley Stadium,5.25,1.0
Ali Murtaza,Brabourne Stadium,4.5,2.0
Ali Murtaza,Maharashtra Cricket Association's International Stadium,3.75,3.0
Ali Murtaza,Sawai Mansingh Stadium,3.75,0.0
Ali Murtaza,Wankhede Stadium,4.5,2.0
Alzarri Joseph,Brabourne - CCI,10.375,2.0
Alzarri Joseph,DY Patil Stadium,7.75,1.0
Alzarri Joseph,Maharashtra Cricket Association Stadium,8.5,2.0
Alzarri Joseph,Rajiv Gandhi Intl. Cricket Stadium,3.27,6.0
Alzarri Joseph,Wankhede Stadium,8.75,1.0
Amit Mishra,ACA-VDCA Stadium,4.75,2.0
Amit Mishra,Arun Jaitley Stadium,4.85875,30.0
Amit Mishra,Barabati Stadium,4.0,1.0
Amit Mishra,Buffalo Park,5.0,0.0
Amit Mishra,Chidambaram,4.9575,6.0
Amit Mishra,Dubai International Stadium,5.75,0.0
Amit Mishra,Eden Gardens,4.895,4.0
Amit Mishra,HPCA Stadium,2.25,4.0
Amit Mishra,IS Bindra Stadium,5.75,1.0
Amit Mishra,Jawaharlal Nehru Stadium,3.0,1.0
Amit Mishra,Kingsmead,4.5,0.0
Amit Mishra,M. Chinnaswamy Stadium,5.75,2.0
